bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
AMAX,15.0,Beretta 92FS,369.98,8.56,7.77,Kevlar,38.0,10
AccuBond,14.27,Smith & Wesson M&P,827.28,10.79,9.96,Rubber,38.0,51
FMJ,6.68,Winchester Model 70,301.75,4.4,10.63,Rubber,16.0,43
TMJ,13.38,Springfield XD,407.37,7.28,7.26,Metal,50.0,33
V-Crown,11.57,HK USP,507.55,7.42,10.86,Ceramic,9.0,5
Ranger T-Series,7.68,M4 Carbine,578.77,12.68,9.55,Wood,4.0,90
AMAX,7.18,Smith & Wesson M&P,838.46,2.0,9.09,Wood,7.0,67
FMJ,7.41,HK USP,467.3,10.41,10.61,Metal,3.0,28
Critical Defense,15.0,Colt 1911,558.18,14.02,7.08,Kevlar,35.0,10
AMAX,13.08,AR-15,300.0,8.51,10.8,Brick,29.0,38
AccuBond,8.39,Sig Sauer P320,615.1,20.0,7.6,Brick,4.0,35
Ranger T-Series,8.65,HK416,887.09,6.06,10.71,Metal,16.0,52
V-Crown,11.54,Smith & Wesson M&P,414.52,7.45,10.22,Brick,7.0,30
AP,11.41,Dragunov SVD,660.61,5.78,13.01,Glass,3.0,89
V-MAX,6.13,Barrett M82,300.0,7.11,13.01,Sand,6.0,52
Critical Defense,9.89,Barrett M82,431.0,10.5,11.54,Kevlar,18.0,10
BTHP,7.34,HK USP,441.01,6.54,9.85,Glass,21.0,72
Hydra-Shok,9.46,Winchester Model 70,570.42,4.71,9.98,Kevlar,4.0,8
Ranger T-Series,8.86,Colt 1911,472.08,2.0,7.71,Glass,30.0,63
AccuBond,12.05,AK-47,725.85,7.38,6.41,Kevlar,17.0,10
Critical Defense,8.2,FN Five-seveN,397.27,7.92,12.16,Brick,11.0,31
AccuBond,9.35,Walther PPQ,646.17,6.79,9.13,Ceramic,21.0,33
PowerBond,5.0,Remington 870,532.29,16.9,8.23,Sand,8.0,29
Golden Saber,9.97,Remington 700,300.0,10.6,6.45,Metal,6.0,29
Critical Duty,6.66,Mossberg 500,300.0,5.85,10.26,Glass,52.0,62
Partition,5.0,Smith & Wesson M&P,529.33,10.85,9.47,Ceramic,46.0,28
JHP,12.39,Smith & Wesson M&P,363.08,11.29,8.63,Metal,13.0,40
SP,8.87,Sig Sauer P320,555.06,7.98,8.53,Water,19.0,46
AccuBond,5.0,Beretta 92FS,300.0,6.36,10.52,Brick,21.0,29
Extreme Point,6.65,Sig Sauer P320,606.71,4.09,10.09,Rubber,21.0,46
TMJ,9.02,M16,813.7,13.49,6.55,Wood,15.0,71
BTHP,9.1,CZ 75,452.12,7.36,8.21,Kevlar,8.0,17
Black Talon,7.5,Sig Sauer P320,300.0,7.24,11.72,Kevlar,44.0,11
AMAX,5.0,M16,488.86,12.46,8.47,Wood,17.0,70
TMJ,7.34,Walther PPQ,357.5,8.13,11.82,Ceramic,48.0,5
Gold Dot,12.21,M4 Carbine,310.51,17.84,9.99,Metal,35.0,47
SP,13.21,AK-47,458.08,5.9,9.02,Glass,21.0,77
AccuBond,7.18,Beretta 92FS,699.33,6.52,9.18,Kevlar,25.0,24
BT,14.65,Winchester Model 70,384.62,5.19,11.14,Ceramic,48.0,6
SP,5.0,Springfield XD,639.49,4.68,8.11,Metal,20.0,27
Ranger T-Series,6.57,Barrett M82,456.88,9.62,7.3,Concrete,13.0,4
HST,11.67,CZ 75,481.89,10.83,8.53,Glass,12.0,89
Hydra-Shok,11.2,Glock 17,718.36,6.47,7.47,Wood,78.0,38
SP,8.97,AR-15,444.07,8.17,7.85,Concrete,28.0,29
Critical Defense,5.64,Remington 870,653.22,8.85,7.81,Ceramic,22.0,21
BTHP,5.63,Ruger SR9,454.53,13.17,10.26,Brick,2.0,31
PolyCase ARX,6.82,Sig Sauer P320,611.92,5.58,6.05,Rubber,18.0,45
Critical Defense,5.76,Walther PPQ,446.9,8.71,10.18,Ceramic,4.0,16
Hydra-Shok,9.39,Dragunov SVD,534.23,9.73,9.74,Wood,10.0,68
JHP,8.72,Winchester Model 70,551.44,9.64,11.41,Kevlar,16.0,32
PowerBond,5.52,Barrett M82,635.14,8.3,10.6,Kevlar,1.0,26
V-Crown,7.94,Kel-Tec KSG,595.96,12.09,10.52,Ceramic,40.0,21
Black Talon,5.0,M16,331.14,5.22,7.98,Kevlar,12.0,22
Critical Defense,10.02,HK USP,864.03,7.31,9.14,Sand,19.0,46
PowerBond,11.15,SCAR-L,505.23,5.64,6.93,Ceramic,5.0,34
AP,6.26,AK-47,683.09,5.36,12.32,Sand,24.0,60
PowerBond,6.64,M16,300.0,8.47,12.67,Concrete,7.0,36
Ranger T-Series,9.77,Sig Sauer P320,660.68,11.97,10.89,Glass,15.0,112
PowerBond,9.32,M16,653.06,4.87,7.53,Ceramic,8.0,32
Ranger T-Series,11.32,Remington 870,546.79,11.68,11.25,Wood,21.0,81
FMJ,6.67,Remington 870,300.0,6.67,9.04,Brick,38.0,38
Extreme Point,7.02,Glock 17,355.56,4.17,6.64,Kevlar,20.0,2
Partition,8.34,Ruger SR9,300.0,5.35,9.23,Metal,4.0,38
JHP,5.8,Remington 870,732.57,11.83,12.02,Ceramic,6.0,17
SP,8.27,SCAR-L,300.0,3.85,9.54,Glass,15.0,75
PolyCase ARX,5.85,Kel-Tec KSG,610.83,16.02,10.19,Sand,6.0,61
Partition,10.25,Kel-Tec KSG,442.08,8.56,7.57,Metal,4.0,53
Black Talon,6.19,FN Five-seveN,716.59,2.0,9.49,Wood,1.0,72
HST,9.76,Springfield XD,545.78,3.85,9.44,Rubber,2.0,58
Black Talon,13.37,Kel-Tec KSG,370.9,11.3,7.92,Kevlar,17.0,16
Extreme Point,10.28,Smith & Wesson M&P,345.11,2.17,10.34,Wood,4.0,70
PolyCase ARX,9.53,Glock 17,411.66,10.65,9.43,Kevlar,14.0,13
FMJ,5.0,FN Five-seveN,300.0,3.32,11.06,Concrete,21.0,19
Black Talon,13.17,Smith & Wesson M&P,854.1,9.47,8.92,Wood,6.0,77
V-MAX,12.35,HK416,762.78,13.27,10.26,Water,60.0,40
Hydra-Shok,8.53,M16,513.6,9.51,8.49,Concrete,6.0,42
Golden Saber,7.85,Colt 1911,687.92,11.41,6.78,Brick,4.0,33
Black Talon,6.56,AK-47,492.75,10.91,12.11,Rubber,12.0,67
Hydra-Shok,14.37,HK416,587.26,3.44,9.02,Ceramic,12.0,20
Golden Saber,11.35,AK-47,697.38,3.16,8.14,Sand,39.0,46
Partition,6.72,Benelli M4,452.31,2.0,11.01,Wood,1.0,82
PolyCase ARX,12.3,Kel-Tec KSG,654.79,9.24,9.99,Brick,6.0,36
AccuBond,13.02,Beretta 92FS,300.0,7.6,7.32,Sand,42.0,37
Partition,8.94,Remington 870,542.91,4.01,9.54,Water,28.0,61
BT,7.97,Colt 1911,497.12,9.34,6.65,Kevlar,1.0,12
V-MAX,6.02,Benelli M4,431.97,14.43,8.63,Glass,15.0,124
HST,11.12,Beretta 92FS,458.66,10.76,12.67,Brick,6.0,33
EFMJ,7.72,Springfield XD,451.61,13.49,7.85,Metal,89.0,9
Ranger T-Series,7.59,Remington 700,721.6,6.46,8.54,Sand,82.0,21
Critical Defense,8.97,SCAR-L,488.35,8.7,10.38,Glass,52.0,75
Hydra-Shok,6.55,Ruger SR9,1000.0,9.28,7.83,Concrete,1.0,22
PowerBond,13.59,Smith & Wesson M&P,312.1,11.38,8.53,Ceramic,47.0,25
AP,11.9,Walther PPQ,610.94,2.0,12.04,Kevlar,8.0,21
V-Crown,9.23,Glock 17,678.97,14.01,8.12,Ceramic,21.0,4
PolyCase ARX,6.45,Sig Sauer P320,422.08,8.94,9.47,Metal,12.0,44
SP,6.61,HK416,300.0,13.22,8.55,Kevlar,9.0,13
Extreme Point,6.48,Kel-Tec KSG,409.69,12.22,8.95,Concrete,7.0,20
AMAX,5.31,M16,300.0,2.0,10.26,Wood,11.0,80
PowerBond,9.97,AR-15,335.29,9.33,10.0,Concrete,7.0,28
SP,7.07,Remington 870,577.43,9.97,8.78,Metal,52.0,17
AMAX,6.9,M16,1000.0,7.13,9.75,Rubber,11.0,68
V-Crown,6.56,M4 Carbine,847.11,8.04,11.83,Rubber,58.0,34
TMJ,12.01,Colt 1911,378.4,4.48,9.8,Kevlar,9.0,17
Partition,6.72,Remington 700,689.13,7.38,9.96,Wood,6.0,74
Black Talon,12.81,Remington 870,427.28,6.68,8.52,Wood,33.0,73
HST,8.14,Benelli M4,325.99,5.93,11.02,Rubber,15.0,49
AMAX,5.26,FN Five-seveN,483.46,6.54,7.98,Brick,4.0,34
PowerBond,10.41,HK USP,300.0,2.0,12.65,Wood,53.0,35
EFMJ,11.66,M4 Carbine,300.0,5.92,9.77,Metal,65.0,29
BT,6.43,Sig Sauer P320,682.61,4.36,9.38,Concrete,23.0,19
Critical Duty,9.19,FN Five-seveN,772.79,4.67,12.36,Kevlar,71.0,2
PolyCase ARX,9.96,Smith & Wesson M&P,300.0,2.48,11.4,Wood,22.0,47
PowerBond,9.29,Smith & Wesson M&P,791.47,7.07,12.8,Wood,20.0,63
BT,7.63,Springfield XD,731.72,4.45,11.8,Glass,35.0,54
AccuBond,11.64,Benelli M4,430.27,4.4,8.79,Wood,1.0,73
Critical Duty,8.25,Glock 17,591.0,8.49,9.0,Glass,12.0,81
V-MAX,7.18,CZ 75,863.46,14.51,10.46,Kevlar,11.0,28
BT,5.0,Remington 870,745.19,8.53,9.34,Glass,19.0,69
BTHP,5.0,Walther PPQ,598.82,12.29,11.92,Brick,9.0,37
Ranger T-Series,9.65,Ruger SR9,373.25,7.61,8.11,Water,12.0,56
JHP,8.77,Sig Sauer P320,417.97,17.9,9.72,Kevlar,38.0,12
FMJ,11.66,FN Five-seveN,639.86,3.51,9.25,Kevlar,59.0,13
AMAX,12.39,Glock 17,608.36,2.0,9.21,Ceramic,13.0,22
Gold Dot,8.26,FN Five-seveN,732.38,11.58,9.94,Concrete,24.0,14
EFMJ,11.85,Mossberg 500,300.0,10.94,9.17,Kevlar,16.0,8
Critical Defense,7.31,Winchester Model 70,588.99,2.0,9.2,Ceramic,40.0,21
Critical Defense,8.55,Walther PPQ,643.86,7.41,7.78,Ceramic,6.0,21
ELD-M,8.46,CZ 75,451.56,15.18,9.89,Kevlar,40.0,8
Critical Duty,13.74,Kel-Tec KSG,976.4,11.57,8.57,Brick,14.0,32
AMAX,5.16,M4 Carbine,327.07,2.0,8.51,Ceramic,12.0,29
Extreme Point,9.18,CZ 75,488.76,2.0,9.77,Sand,61.0,11
BTHP,6.91,AK-47,646.19,14.47,10.51,Water,7.0,68
ELD-M,8.1,Ruger SR9,672.7,4.6,13.43,Concrete,2.0,31
PolyCase ARX,7.97,HK416,450.93,11.87,8.69,Metal,22.0,41
AccuBond,9.22,Sig Sauer P320,450.56,10.84,11.43,Concrete,6.0,29
Hydra-Shok,13.04,CZ 75,639.74,7.9,9.45,Ceramic,21.0,8
JHP,14.71,Walther PPQ,592.86,5.0,12.95,Brick,1.0,41
PowerBond,10.97,AK-47,518.42,13.96,13.91,Rubber,17.0,64
Black Talon,6.06,Smith & Wesson M&P,300.0,2.0,8.04,Concrete,5.0,35
Partition,8.48,Benelli M4,529.54,12.38,10.27,Glass,2.0,132
Critical Defense,9.78,Mossberg 500,823.05,6.7,10.69,Wood,1.0,74
FMJ,7.78,Remington 700,617.89,4.95,12.78,Rubber,63.0,16
PowerBond,8.17,M16,344.85,7.51,8.14,Wood,6.0,77
Extreme Point,8.79,Glock 17,300.0,12.51,12.02,Water,17.0,61
AMAX,11.32,Smith & Wesson M&P,691.76,3.01,10.08,Kevlar,13.0,21
BT,10.59,AK-47,408.05,9.33,6.32,Water,9.0,54
Hydra-Shok,7.17,Ruger SR9,767.05,10.39,9.84,Metal,16.0,52
FMJ,10.78,Smith & Wesson M&P,762.47,7.2,11.35,Glass,16.0,60
FMJ,14.17,Mossberg 500,470.25,3.58,12.73,Concrete,36.0,13
Partition,5.0,Glock 17,565.01,4.71,10.32,Metal,10.0,40
TMJ,7.69,Ruger SR9,589.97,15.12,9.87,Concrete,9.0,20
Extreme Point,7.46,SCAR-L,300.0,11.77,6.4,Ceramic,23.0,25
TMJ,9.24,Dragunov SVD,841.3,10.4,10.67,Rubber,9.0,54
PolyCase ARX,5.0,FN Five-seveN,599.8,16.52,8.71,Ceramic,14.0,12
Hydra-Shok,13.08,Winchester Model 70,530.61,4.85,9.42,Rubber,4.0,51
HST,9.14,Sig Sauer P320,697.3,7.93,11.77,Metal,7.0,59
Extreme Point,9.89,Remington 700,561.01,8.19,11.07,Wood,4.0,69
V-MAX,9.55,Remington 700,300.0,12.95,10.95,Sand,37.0,37
SP,7.45,Beretta 92FS,338.89,2.0,8.22,Rubber,32.0,28
Critical Duty,11.1,HK416,300.0,8.33,7.17,Metal,10.0,44
Ranger T-Series,9.02,M4 Carbine,513.21,7.99,8.59,Rubber,12.0,61
AMAX,5.0,Barrett M82,610.5,11.3,7.49,Concrete,11.0,34
Hydra-Shok,8.68,Ruger SR9,462.5,6.26,12.17,Glass,4.0,81
HST,8.17,Barrett M82,300.0,12.86,10.37,Concrete,31.0,15
HST,11.09,M4 Carbine,400.99,9.62,13.7,Kevlar,35.0,12
Extreme Point,15.0,Smith & Wesson M&P,426.23,4.88,10.89,Sand,19.0,43
Critical Duty,10.13,Winchester Model 70,673.48,10.31,12.84,Concrete,27.0,25
HST,15.0,Sig Sauer P320,786.36,7.52,10.86,Sand,21.0,46
V-MAX,6.94,Sig Sauer P320,300.0,9.96,12.21,Concrete,2.0,23
HST,7.13,Beretta 92FS,484.24,3.26,10.03,Wood,16.0,42
Ranger T-Series,8.26,Barrett M82,379.18,6.92,12.51,Wood,9.0,62
Golden Saber,10.28,Colt 1911,447.86,12.08,11.73,Concrete,5.0,49
Critical Duty,7.08,Dragunov SVD,668.42,13.62,7.23,Concrete,22.0,8
V-MAX,5.0,SCAR-L,400.1,9.76,11.79,Brick,44.0,31
SP,9.07,Beretta 92FS,636.89,7.06,11.36,Rubber,100.0,20
Golden Saber,5.57,Remington 870,898.27,5.81,6.14,Wood,17.0,55
Golden Saber,12.35,HK USP,409.95,5.2,9.73,Kevlar,22.0,18
Hydra-Shok,10.93,Sig Sauer P320,456.6,5.19,12.11,Brick,21.0,26
AMAX,6.72,Barrett M82,452.11,4.61,6.0,Water,24.0,43
Hydra-Shok,10.37,Sig Sauer P320,977.4,7.66,11.35,Water,6.0,77
Extreme Point,7.36,Beretta 92FS,399.98,5.66,10.74,Rubber,3.0,28
Critical Duty,8.84,Sig Sauer P320,793.99,10.21,10.1,Concrete,10.0,27
HST,8.87,HK416,492.82,9.44,14.0,Rubber,13.0,56
PolyCase ARX,7.99,AR-15,534.05,12.39,11.44,Wood,29.0,63
AccuBond,11.49,CZ 75,665.66,10.26,8.93,Ceramic,19.0,32
SP,5.64,Dragunov SVD,425.46,11.35,9.42,Rubber,16.0,42
V-MAX,10.61,Barrett M82,696.5,4.73,11.81,Glass,14.0,89
BT,9.91,HK USP,444.64,9.96,11.22,Water,5.0,53
Extreme Point,5.0,FN Five-seveN,300.0,9.0,9.48,Water,9.0,42
HST,6.62,Remington 700,703.34,2.0,12.01,Water,2.0,64
PowerBond,5.72,Remington 700,622.06,7.78,7.92,Kevlar,1.0,32
Partition,7.9,Springfield XD,382.78,3.98,11.78,Rubber,1.0,36
JHP,9.15,Smith & Wesson M&P,730.55,2.0,9.08,Kevlar,2.0,11
Hydra-Shok,6.21,Smith & Wesson M&P,303.12,6.76,11.31,Water,18.0,52
BT,11.91,AR-15,584.58,5.46,13.62,Sand,71.0,24
Black Talon,12.17,HK416,300.0,4.99,6.29,Concrete,1.0,27
V-MAX,12.7,M4 Carbine,422.14,2.25,9.29,Concrete,31.0,31
V-MAX,5.0,Colt 1911,331.56,15.11,6.0,Rubber,22.0,38
V-Crown,14.84,Benelli M4,300.0,3.02,11.27,Rubber,39.0,47
V-Crown,9.5,FN Five-seveN,504.9,6.65,12.33,Water,58.0,40
AP,9.14,Sig Sauer P320,566.41,10.73,8.67,Rubber,34.0,47
HST,8.69,Barrett M82,622.96,11.91,10.88,Rubber,32.0,36
Partition,5.04,Smith & Wesson M&P,500.34,3.59,10.66,Ceramic,2.0,18
Golden Saber,10.08,Mossberg 500,586.17,7.13,10.7,Ceramic,9.0,24
Golden Saber,13.84,Remington 870,300.0,10.21,11.31,Brick,19.0,44
Critical Duty,9.46,Benelli M4,323.95,9.19,11.1,Glass,1.0,111
ELD-M,5.65,CZ 75,496.44,9.52,9.09,Concrete,13.0,25
Critical Defense,5.0,SCAR-L,324.78,3.23,9.28,Brick,1.0,25
PowerBond,8.12,Remington 870,501.11,4.7,7.02,Concrete,27.0,3
Hydra-Shok,6.77,FN Five-seveN,370.0,7.39,6.0,Sand,6.0,32
Gold Dot,11.11,Walther PPQ,468.29,6.75,9.93,Ceramic,28.0,19
EFMJ,13.11,AR-15,300.0,8.66,13.42,Brick,13.0,40
Hydra-Shok,10.41,SCAR-L,300.0,3.77,8.05,Glass,2.0,94
Critical Defense,8.74,AK-47,356.59,11.91,8.83,Concrete,50.0,21
SP,8.6,HK USP,300.0,3.23,10.12,Ceramic,24.0,19
HST,9.21,AK-47,300.0,8.92,9.32,Ceramic,26.0,6
SP,5.52,Kel-Tec KSG,596.51,4.75,9.94,Kevlar,5.0,22
Gold Dot,10.81,Glock 17,694.27,6.94,10.7,Wood,3.0,66
Black Talon,5.76,Walther PPQ,675.04,2.11,10.41,Brick,62.0,25
AP,12.35,CZ 75,471.13,7.33,8.08,Ceramic,9.0,30
SP,7.91,Ruger SR9,467.06,10.66,7.89,Concrete,5.0,33
Ranger T-Series,11.49,Beretta 92FS,519.86,13.06,10.43,Water,42.0,53
Critical Defense,5.0,M4 Carbine,369.07,7.61,7.29,Brick,12.0,38
AMAX,11.47,Smith & Wesson M&P,300.0,3.13,12.17,Wood,21.0,70
AccuBond,13.09,M4 Carbine,737.49,11.26,10.57,Kevlar,6.0,22
HST,5.16,Mossberg 500,502.87,9.39,12.25,Concrete,70.0,16
ELD-M,8.66,Kel-Tec KSG,490.58,7.32,11.02,Kevlar,13.0,19
EFMJ,10.0,M4 Carbine,436.66,5.84,9.85,Sand,11.0,59
V-Crown,10.15,M16,618.73,7.52,12.02,Rubber,1.0,68
FMJ,7.98,Desert Eagle,476.39,8.12,9.95,Glass,25.0,60
SP,7.45,Glock 17,402.12,11.24,9.18,Glass,16.0,68
AP,9.76,Desert Eagle,432.87,4.61,6.7,Rubber,68.0,26
Critical Duty,10.06,Walther PPQ,512.98,5.29,9.7,Wood,3.0,77
V-MAX,7.12,Smith & Wesson M&P,300.0,7.06,8.39,Water,10.0,51
Golden Saber,6.52,HK USP,782.85,2.57,8.51,Glass,6.0,74
BT,12.63,FN Five-seveN,378.58,10.75,9.0,Water,22.0,38
Ranger T-Series,9.32,M16,340.96,10.36,11.04,Water,1.0,90
Hydra-Shok,5.0,M4 Carbine,424.42,9.19,7.94,Metal,98.0,19
Hydra-Shok,12.65,SCAR-L,681.83,17.68,7.38,Glass,25.0,98
AP,7.21,Springfield XD,446.3,10.72,6.41,Brick,10.0,35
AMAX,9.2,Mossberg 500,732.84,13.38,10.85,Wood,9.0,77
Ranger T-Series,10.12,Colt 1911,434.07,8.24,11.36,Ceramic,13.0,31
Ranger T-Series,5.0,Benelli M4,300.0,5.81,8.92,Glass,24.0,97
AP,8.13,Dragunov SVD,333.01,2.24,9.04,Sand,18.0,35
Critical Duty,12.95,M4 Carbine,362.78,9.23,11.74,Wood,13.0,78
Critical Duty,12.27,Mossberg 500,629.72,10.16,9.7,Water,4.0,76
JHP,8.13,Walther PPQ,408.34,11.72,10.75,Rubber,4.0,52
SP,11.15,Dragunov SVD,300.0,5.99,10.46,Rubber,49.0,35
Extreme Point,11.54,Remington 870,300.0,10.67,8.0,Water,16.0,51
AMAX,11.39,Dragunov SVD,300.0,2.81,10.85,Sand,17.0,40
AccuBond,5.56,CZ 75,1000.0,8.36,10.33,Water,11.0,52
Hydra-Shok,13.92,Remington 870,350.13,10.2,8.86,Ceramic,25.0,29
EFMJ,7.61,M16,588.55,10.58,9.32,Wood,32.0,59
BTHP,9.33,HK416,300.0,11.28,7.25,Wood,11.0,62
ELD-M,7.95,M16,745.53,10.14,11.6,Rubber,1.0,78
Critical Duty,9.69,Ruger SR9,328.51,8.45,10.38,Glass,6.0,81
JHP,6.41,Colt 1911,874.15,12.96,10.26,Glass,34.0,84
AMAX,8.32,Dragunov SVD,894.39,7.79,10.16,Sand,16.0,53
ELD-M,9.55,HK416,300.0,7.96,10.77,Brick,43.0,28
AccuBond,12.67,Colt 1911,747.81,14.32,7.0,Concrete,10.0,20
Critical Defense,12.31,Dragunov SVD,875.48,2.0,14.0,Glass,8.0,77
Gold Dot,12.46,Mossberg 500,300.0,10.3,11.43,Metal,1.0,30
ELD-M,11.61,Dragunov SVD,300.0,10.44,10.72,Kevlar,4.0,36
TMJ,14.54,Walther PPQ,300.0,6.32,13.7,Sand,8.0,33
Partition,8.13,Colt 1911,312.06,8.07,10.7,Water,2.0,55
Ranger T-Series,8.53,Springfield XD,300.0,7.95,13.85,Water,19.0,66
SP,8.4,Mossberg 500,433.2,7.15,14.0,Wood,92.0,27
TMJ,8.82,Ruger SR9,300.0,7.75,12.73,Sand,1.0,28
V-MAX,5.0,AR-15,638.35,9.52,9.99,Water,10.0,56
V-Crown,9.79,SCAR-L,506.09,5.63,9.86,Glass,10.0,99
V-Crown,10.49,HK USP,584.88,7.98,9.28,Water,1.0,58
BT,8.23,Smith & Wesson M&P,705.92,2.6,11.62,Sand,4.0,43
PolyCase ARX,5.0,Beretta 92FS,552.62,5.54,7.94,Metal,12.0,41
ELD-M,9.06,Benelli M4,455.22,3.66,9.7,Wood,62.0,56
JHP,5.12,AK-47,335.73,8.62,6.0,Wood,17.0,57
EFMJ,10.28,Mossberg 500,679.5,3.84,7.91,Wood,2.0,58
Critical Duty,9.36,AR-15,554.09,2.43,10.2,Kevlar,27.0,28
PowerBond,9.65,Sig Sauer P320,543.76,2.44,11.17,Metal,39.0,25
BT,5.82,Mossberg 500,378.95,3.87,12.02,Concrete,33.0,13
V-MAX,12.78,Walther PPQ,560.04,12.13,10.15,Wood,34.0,77
AccuBond,9.51,Dragunov SVD,343.68,14.14,8.89,Metal,33.0,25
Golden Saber,6.26,Mossberg 500,562.0,6.65,8.82,Rubber,5.0,54
Critical Defense,10.74,Colt 1911,447.04,2.03,8.69,Sand,18.0,43
AP,9.29,AK-47,643.11,6.8,14.0,Ceramic,4.0,32
PowerBond,14.51,Kel-Tec KSG,300.0,13.54,9.14,Brick,8.0,33
V-MAX,7.34,FN Five-seveN,509.51,8.92,10.77,Brick,11.0,18
TMJ,5.26,FN Five-seveN,640.56,2.16,9.53,Kevlar,11.0,18
V-Crown,9.87,Mossberg 500,514.91,15.3,11.19,Brick,12.0,28
Hydra-Shok,12.04,AK-47,300.0,6.57,8.05,Rubber,31.0,53
AMAX,15.0,Mossberg 500,351.09,5.86,8.93,Sand,19.0,41
BTHP,15.0,Ruger SR9,753.45,12.69,10.91,Metal,21.0,38
BT,5.0,AK-47,485.85,9.11,8.66,Ceramic,29.0,12
TMJ,8.59,AK-47,336.14,13.16,11.35,Glass,5.0,77
Black Talon,5.27,Remington 870,750.85,7.45,11.05,Brick,12.0,23
V-MAX,8.26,HK416,809.93,7.7,10.01,Brick,39.0,45
Ranger T-Series,15.0,HK USP,300.0,6.1,9.57,Concrete,24.0,23
AccuBond,6.54,Beretta 92FS,399.4,8.62,9.63,Kevlar,42.0,28
SP,8.93,HK416,431.13,7.84,11.64,Kevlar,12.0,13
TMJ,7.26,Springfield XD,606.64,5.18,11.04,Brick,29.0,19
EFMJ,5.99,Kel-Tec KSG,463.93,2.0,13.14,Water,6.0,37
EFMJ,14.38,Mossberg 500,524.49,9.9,7.51,Kevlar,40.0,21
HST,5.0,HK USP,470.79,9.29,7.12,Metal,7.0,29
AP,8.75,Smith & Wesson M&P,939.98,6.94,9.29,Metal,8.0,39
AP,9.26,Smith & Wesson M&P,614.7,11.79,9.55,Wood,25.0,67
HST,8.9,Benelli M4,441.28,8.6,9.84,Metal,28.0,44
BTHP,8.05,Desert Eagle,444.43,9.75,13.04,Wood,1.0,57
Gold Dot,13.84,Dragunov SVD,594.63,7.98,10.67,Glass,3.0,101
BT,5.0,Sig Sauer P320,308.97,2.0,10.44,Kevlar,6.0,-4
Extreme Point,10.31,Mossberg 500,554.03,13.22,8.9,Glass,100.0,26
AccuBond,10.44,Winchester Model 70,531.86,9.52,9.71,Rubber,35.0,33
V-MAX,9.86,Smith & Wesson M&P,327.08,2.69,10.29,Brick,25.0,25
SP,6.51,CZ 75,300.0,6.19,9.71,Metal,66.0,29
Extreme Point,12.62,Springfield XD,300.0,10.29,10.33,Kevlar,23.0,1
FMJ,12.46,CZ 75,454.1,14.05,10.83,Glass,24.0,67
Black Talon,6.4,Ruger SR9,681.4,9.15,11.84,Metal,46.0,28
Extreme Point,5.41,FN Five-seveN,410.16,10.95,11.84,Concrete,7.0,19
Ranger T-Series,5.0,HK416,673.2,14.59,10.74,Sand,1.0,58
PowerBond,9.68,Smith & Wesson M&P,426.67,14.4,12.52,Sand,25.0,24
EFMJ,9.14,M16,300.0,9.06,10.64,Ceramic,3.0,17
Critical Duty,7.92,Desert Eagle,300.0,10.64,8.44,Rubber,7.0,41
TMJ,15.0,Mossberg 500,314.68,4.09,6.79,Wood,35.0,26
SP,7.62,Walther PPQ,528.15,7.79,12.76,Glass,30.0,66
BTHP,9.56,AK-47,490.88,9.63,8.87,Metal,13.0,42
Critical Defense,8.42,SCAR-L,450.37,6.32,11.84,Sand,2.0,59
PowerBond,14.89,HK416,458.69,2.69,12.98,Brick,7.0,37
Golden Saber,5.0,Remington 870,721.01,7.84,8.15,Water,13.0,61
FMJ,8.07,Desert Eagle,875.92,2.0,8.33,Glass,29.0,56
V-Crown,10.84,Ruger SR9,352.44,14.04,11.86,Brick,84.0,12
HST,8.33,Smith & Wesson M&P,462.38,7.77,10.87,Water,20.0,58
BTHP,5.09,Walther PPQ,300.0,12.25,9.49,Brick,1.0,26
BTHP,9.53,Dragunov SVD,497.09,4.48,10.61,Water,5.0,61
PowerBond,5.0,M16,437.02,5.99,11.49,Water,6.0,70
TMJ,11.01,Beretta 92FS,542.93,10.35,11.71,Concrete,20.0,13
Gold Dot,7.76,Barrett M82,675.66,13.97,12.95,Rubber,1.0,48
Hydra-Shok,7.26,Winchester Model 70,300.0,8.74,8.73,Brick,14.0,22
BT,12.14,Remington 870,457.49,4.69,12.39,Water,100.0,28
Hydra-Shok,5.99,Remington 870,444.6,11.5,13.93,Brick,29.0,45
Black Talon,5.0,AR-15,531.76,3.72,11.08,Kevlar,29.0,6
PowerBond,6.27,Smith & Wesson M&P,780.09,13.21,13.08,Sand,27.0,49
Partition,15.0,Remington 870,369.9,12.25,9.64,Sand,23.0,40
JHP,5.99,HK USP,621.84,4.97,10.4,Glass,7.0,72
Critical Duty,10.1,Kel-Tec KSG,834.44,7.5,11.04,Glass,31.0,89
AccuBond,11.53,Dragunov SVD,330.81,5.96,10.36,Water,21.0,55
Ranger T-Series,6.18,M16,529.45,9.52,8.61,Rubber,5.0,77
Hydra-Shok,6.18,Colt 1911,527.71,9.88,7.83,Sand,77.0,21
Partition,9.54,Ruger SR9,300.0,2.0,11.97,Metal,83.0,26
TMJ,9.68,Remington 700,615.83,10.07,11.8,Metal,9.0,30
Golden Saber,13.04,Desert Eagle,724.54,7.61,6.64,Rubber,28.0,48
TMJ,6.69,Barrett M82,366.4,3.13,11.41,Water,23.0,38
Partition,7.87,Kel-Tec KSG,442.07,10.44,10.78,Glass,18.0,77
